# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: D:\OneDrive - International Campus, Zhejiang University\mycode\quartus\lab5\lab5.csv
# Generated on: Tue Oct 20 10:42:53 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AVal[7],Output,,,,PIN_K28,,,,,,
AVal[6],Output,,,,PIN_E21,,,,,,
AVal[5],Output,,,,PIN_L24,,,,,,
AVal[4],Output,,,,PIN_L28,,,,,,
AVal[3],Output,,,,PIN_A25,,,,,,
AVal[2],Output,,,,PIN_N25,,,,,,
AVal[1],Output,,,,PIN_C26,,,,,,
AVal[0],Output,,,,PIN_M26,,,,,,
Add,Output,,,,PIN_K22,,,,,,
AhexL[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
AhexL[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
AhexL[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
AhexL[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
AhexL[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
AhexL[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
AhexL[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
AhexU[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
AhexU[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
