# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: D:\OneDrive - International Campus, Zhejiang University\ece385\lab6\newnewnew\version111lab6\xshlyc lab6\xshlyc\Updated_ECE385_lab6_provided_Spring_2018\lab6_i.csv
# Generated on: Tue Nov 03 19:09:34 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADDR[19],Unknown,PIN_T8,2,B2_N1,,,,,,
ADDR[18],Unknown,PIN_AB8,3,B3_N2,,,,,,
ADDR[17],Unknown,PIN_AB9,3,B3_N2,,,,,,
ADDR[16],Unknown,PIN_AC11,3,B3_N0,,,,,,
ADDR[15],Unknown,PIN_AB11,3,B3_N1,,,,,,
ADDR[14],Unknown,PIN_AA4,2,B2_N1,,,,,,
ADDR[13],Unknown,PIN_AC3,2,B2_N1,,,,,,
ADDR[12],Unknown,PIN_AB4,2,B2_N2,,,,,,
ADDR[11],Unknown,PIN_AD3,2,B2_N1,,,,,,
ADDR[10],Unknown,PIN_AF2,2,B2_N2,,,,,,
ADDR[9],Unknown,PIN_T7,2,B2_N0,,,,,,
ADDR[8],Unknown,PIN_AF5,3,B3_N2,,,,,,
ADDR[7],Unknown,PIN_AC5,2,B2_N2,,,,,,
ADDR[6],Unknown,PIN_AB5,2,B2_N2,,,,,,
ADDR[5],Unknown,PIN_AE6,3,B3_N2,,,,,,
ADDR[4],Unknown,PIN_AB6,2,B2_N2,,,,,,
ADDR[3],Unknown,PIN_AC7,3,B3_N2,,,,,,
